"","Selection","Breeding_year","Day","Month","Year","Country","Region","Site_name","Site_Code","Euring","Species","Sample_type","Sample_no","Total_flock","N_Adult","N_Juvenile","N_sampled","Perc-JV","Fam1","Fam2","Fam3","Fam4","Fam5","Fam6","Fam7","Fam8","Fam9","Fam10","Mean_Fam","Food_type","Observer","Remarks","time"
"35","X",2001,10,11,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,172,136,36,172,20.9302325581395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-11-10
"36","X",2001,12,11,2001,"NL","FR","Mirns, Wielpolder","FR5100",1590,"Kolgans","S",1,700,300,93,393,23.6641221374046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Koffijberg, Kees",NA,2001-11-12
"37","X",2001,15,11,2001,"NL","RG","IJssel, Ravenswaard","RG2200",1590,"Kolgans","S",1,1000,325,75,400,18.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-15
"38","X",2001,15,11,2001,"NL","RG","IJssel, Ravenswaard","RG2200",1590,"Kolgans","S",1,2000,1563,437,2000,21.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-15
"39","X",2001,19,11,2001,"NL","RG","IJssel, Ravenswaard","RG2200",1590,"Kolgans","S",1,750,310,90,400,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-19
"40","X",2001,22,11,2001,"NL","ZL","Luntershoek","ZL5200",1590,"Kolgans","S",1,200,175,25,200,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Berrevoets, Cor",NA,2001-11-22
"41","X",2001,23,11,2001,"NL","RG","IJssel, Doesburg","RG2200",1590,"Kolgans","S",1,200,165,35,200,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-23
"42","X",2001,23,11,2001,"NL","GL","Netterden, Achterhoek","GL8300",1590,"Kolgans","S",1,1500,294,106,400,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-23
"43","X",2001,24,11,2001,"NL","ZH","Oudeland van Strijen","ZH8400",1590,"Kolgans","S",1,4500,437,63,500,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Philippona, Jules",NA,2001-11-24
"44","X",2001,25,11,2001,"NL","ZL","Boerengat","ZL5200",1590,"Kolgans","S",1,1015,412,113,525,21.5238095238095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"akker_bieten","Berrevoets, Cor",NA,2001-11-25
"45","X",2001,27,11,2001,"NL","RG","IJssel, Wilpse Klei","RG2200",1590,"Kolgans","S",1,1100,872,228,1100,20.7272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-27
"46","X",2001,28,11,2001,"NL","RG","IJssel, Ganzenei","RG2200",1590,"Kolgans","S",1,100,77,33,110,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-11-28
"47","X",2001,1,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,104,94,10,104,9.61538461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-01
"48","X",2001,1,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,84,51,33,84,39.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-01
"49","X",2001,1,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,82,67,15,82,18.2926829268293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-01
"50","X",2001,1,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,208,174,34,208,16.3461538461539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-01
"51","X",2001,1,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,202,170,32,202,15.8415841584158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-01
"52","X",2001,2,12,2001,"NL","RG","Maas","RG6336",1590,"Kolgans","S",1,395,305,90,395,22.7848101265823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Cuijpers, Ton",NA,2001-12-02
"53","X",2001,3,12,2001,"NL","ZL","Stoppeldijkpolder-oost","ZL5200",1590,"Kolgans","S",1,1010,185,15,200,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"akker_aardap","Berrevoets, Cor",NA,2001-12-03
"54","X",2001,5,12,2001,"NL","RG","Maas","RG6336",1590,"Kolgans","S",1,117,88,29,117,24.7863247863248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Cuijpers, Ton",NA,2001-12-05
"55","X",2001,8,12,2001,"NL","RG","IJssel, Eefde","RG2100",1590,"Kolgans","S",1,600,475,125,600,20.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-08
