"","waypoint","date","time","n.group","n.ads","n.juv","n.par","n.male","n.fem","terrain","activity","weather","species","n.het","tag","ele","long","lat"
"119","L011","08/12/16","12:39",64,2,0,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"120","L011","08/12/16","12:39",64,2,1,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"121","L011","08/12/16","12:39",64,2,3,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"122","L011","08/12/16","12:39",64,2,1,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"123","L011","08/12/16","12:39",64,2,1,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"124","L011","08/12/16","11:20",6,2,4,2,1,1,"l","e","clear","wfg",NA,"",132.029465,48.63869,69.2693
"125","L011","08/12/16","11:20",6,2,4,2,1,1,"l","e","clear","wfg",NA,"",132.029465,48.63869,69.2693
"126","L011","08/12/16","12:39",64,2,3,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"127","L011","08/12/16","12:39",64,7,0,2,1,1,"w","e","clear","wfg",26,"U01",132.029465,48.63869,69.2693
"128","L011","08/12/16","12:39",64,2,6,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"129","L011","08/12/16","11:20",4,2,2,2,1,1,"l","e","clear","wfg",NA,"",132.029465,48.63869,69.2693
"130","L011","08/12/16","11:20",7,2,5,2,1,1,"l","e","clear","wfg",NA,"",132.029465,48.63869,69.2693
"131","L011","08/12/16","12:39",64,2,1,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"132","L011","08/12/16","12:39",64,2,1,2,1,1,"w","e","clear","wfg",26,"",132.029465,48.63869,69.2693
"133","L012","08/13/16","11:56",12,2,4,2,1,1,"w","e","clouds","wfg",29,"",108.048111,48.65551,69.24662
"134","L012","08/13/16","11:56",12,2,1,2,1,1,"w","e","clouds","wfg",29,"",108.048111,48.65551,69.24662
"135","L012","08/13/16","11:56",12,2,1,2,1,1,"w","e","clouds","wfg",29,"",108.048111,48.65551,69.24662
"136","L012","08/13/16","13:56",4,2,2,2,1,1,"a","f","clouds","wfg",NA,"",108.048111,48.65551,69.24662
"137","L013","08/13/16","14:21",29,2,1,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"138","L013","08/13/16","14:21",29,2,1,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"139","L013","08/13/16","14:21",29,2,4,2,1,1,"l","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"140","L013","08/13/16","14:21",29,2,3,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"141","L013","08/13/16","14:21",29,2,2,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"142","L013","08/13/16","14:21",29,2,1,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"143","L013","08/13/16","14:21",29,2,2,2,1,1,"w","e","clouds","wfg",66,"",104.922249,48.655388,69.238138
"144","L014","08/13/16","16:08",20,2,2,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"145","L014","08/13/16","16:08",20,2,0,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"146","L014","08/13/16","16:08",20,2,1,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"147","L014","08/13/16","16:08",20,2,0,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"148","L014","08/13/16","16:08",20,2,1,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"149","L014","08/13/16","16:08",20,2,3,2,1,1,"w","f","clouds","wfg",22,"",99.406242,48.651452,69.236073
"150","L015","08/13/16","15:46",5,2,3,2,1,1,"w","f","clouds","wfg",NA,"",102.556976,48.659302,69.236511
